Name,Salary,#,Make,Team,Crew Chief,Car Stats,CC Stats,Win,Top 3,Laps,Rk,Diff,3 Lap,5 Lap,10 Lap,15 Lap,Laps,Rk,Diff,5 Lap,10 Lap,15 Lap,20 Lap,Own %,Start,Fin,Lead,Fast,FP,Value,Own %,Driver Rating,Start,Fin,Lead Laps,Fast Laps,Laps Ran,Avg Run Pos,Avg Pos Stg1,Avg Pos Stg2,Avg Pos Stg3,Por,CotA,Cha,WG,Ind,RA,Por,CotA,Cha,Ind,WG,Roa,CotA,Day,22,21,20,19,18,17,16,15,14,13,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,% of Laps Fin,Lead Lap Fin %,Fin <2 Laps Behind,Fin <5 Laps Behind,Fin<10 Laps Behind,Races,Top 35,Top 30,Top 25,Top 20,Top 15,Top 10,Top 5,Wins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Labbe,7000,29,Ford,,#N/A,Link,Link,150,,11,26,-2.33,20,16,8,,,,,,,,,10%,11,14,0,1,#REF!,,,,,,,,,,,,,11,15,6,35,12,15,10,36,14,13,39,21,20,22,,,,,,,,,,,,,,,,,,,8,2,25%,81.2,14.8,11.5,0.0,0.6,25,3,12%,79.2,15.8,13.8,0.3,0.2,,,,,,,,,94%,84%,84%,84%,88%,25,92%,88%,84%,76%,60%,24%,4%,0
Brett Moffitt,6900,25,Ford,,Joe Williams,Link,Link,250,,12,19,-2.10,19,21,14,,,,,,,,,8%,14,16,0,0,#REF!,,,,,,,,,,,,,12,34,,,16,35,20,7,37,31,26,31,12,11,,,,,,,,,,,,,,,,,,,6,2,33%,79.6,15.3,13.8,0.0,0.3,15,6,40%,75.4,15.6,18.4,0.0,0.3,8,0,0%,71.5,18.4,17.4,0.0,0.2,77%,47%,47%,47%,60%,15,80%,47%,40%,40%,27%,7%,0%,0
Sage Karam,6700,44,Chevy,,Frank Kerr,Link,Link,250,,12,24,-2.31,26,26,21,,,,,,,,,4%,21,21,0,0,#REF!,,,,,,,,,,,,,,35,30,,13,31,,16,25,26,,,,,,,,,,,,,,,,,,,,,,,5,2,40%,73.8,16.0,19.7,0.0,0.0,7,2,29%,72.4,15.2,22.0,0.0,0.0,8,1,13%,44.7,26.6,26.0,0.0,0.1,85%,43%,43%,43%,57%,7,100%,71%,43%,29%,14%,0%,0%,0
Jeb Burton,6600,27,Chevy,,Shane Whitbeck,Link,Link,250,,4,31,-2.91,32,,,,,,,,,,,6%,30,25,0,0,#REF!,,,,,,,,,,,,,25,21,18,37,38,21,33,23,13,23,8,14,10,5,,,,,,,,,,,,,,,,,,,8,3,38%,68.2,15.4,21.6,0.0,0.0,16,3,19%,74.9,14.8,17.5,0.3,0.1,8,0,0%,69.5,17.5,15.1,0.0,0.1,86%,75%,75%,75%,75%,16,88%,75%,75%,44%,31%,19%,6%,0
Jeremy Clements,6500,51,Chevy,,Mark Setzer,Link,Link,250,,10,20,-2.11,25,24,23,,,,,,,,,10%,24,20,0,0,#REF!,,,,,,,,,,,,,22,14,14,10,19,9,34,24,12,14,16,28,23,10,,,,,,,,,,,,,,,,,,,8,1,13%,74.7,17.6,16.0,0.3,0.2,42,5,12%,75.9,16.8,15.9,0.6,0.2,8,1,13%,61.8,20.7,21.6,0.1,0.1,96%,76%,76%,81%,83%,42,98%,88%,81%,64%,45%,19%,2%,1
Anthony Alfredo,6300,78,Chevy,,Pat Tryson,Link,Link,250,,4,29,-2.82,30,,,,,,,,,,,21%,37,26,0,0,#REF!,,,,,,,,,,,,,21,16,12,18,18,23,31,13,,,,,,,,,,,,,,,,,,,,,,,,,8,1,13%,67.7,18.6,17.3,0.0,0.0,9,1,11%,68.5,19.0,17.6,0.0,0.5,8,2,25%,60.8,22.3,20.2,0.1,0.1,98%,78%,78%,89%,89%,9,100%,89%,89%,67%,22%,0%,0%,0
Connor Mosack,6200,24,Toyota,,Kris Bowen,Link,Link,130,,11,23,-2.30,23,27,24,,,,,,,,,32%,29,21,0,0,#REF!,,,,,,,,,,,,,8,19,,15,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,25%,73.1,15.3,14.0,0.0,0.0,4,1,25%,73.1,15.3,14.0,0.0,0.0,8,2,25%,63.1,20.8,22.3,0.0,1.1,96%,75%,75%,75%,75%,4,100%,100%,75%,75%,50%,25%,0%,0
Ryan Sieg,6100,39,Ford,,Michael Scearce,Link,Link,500,,15,38,-3.96,38,31,25,,,,,,,,,16%,34,26,0,0,#REF!,,,,,,,,,,,,,18,23,9,13,27,10,16,11,32,32,18,22,25,27,,,,,,,,,,,,,,,,,,,8,0,0%,60.7,21.0,15.9,0.4,0.0,39,5,13%,63.1,20.4,18.6,0.3,0.1,8,0,0%,72.0,17.9,18.3,0.4,0.5,93%,69%,69%,80%,90%,39,97%,85%,69%,49%,31%,10%,0%,0
Ty Dillon,5900,4,Chevy,,Robert Goodman,Link,Link,500,,10,33,-3.25,31,30,26,,,,,,,,,18%,32,25,0,0,#REF!,,,,,,,,,,,,,,,,,20,37,,,26,,,,,,,,,,,,,,,,,,,,,,,,2,1,50%,63.7,18.0,20.0,0.0,0.0,13,1,8%,93.8,10.8,12.0,1.1,0.6,6,0,0%,36.9,29.5,30.0,0.0,0.0,94%,85%,85%,92%,92%,13,92%,92%,85%,85%,62%,46%,23%,0
Dylan Lupton,5800,43,Chevy,,Mike Brandt,Link,Link,1000,,12,32,-2.95,33,37,32,,,,,,,,,7%,33,27,0,0,#REF!,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0%,48.5,25.0,29.0,0.0,0.0,6,1,17%,65.7,19.6,20.8,0.0,0.0,8,1,13%,47.8,26.4,25.0,0.0,0.1,97%,33%,33%,67%,100%,6,100%,83%,50%,50%,33%,17%,0%,0
